jst_sku_id,skuCode,skuName,category,brand,item_type,format_type
6955631313309,6955631313309,-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631314771,6955631314771,-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631314580,6955631314580,-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631314610,6955631314610,-大耳狗款,成品 - 成品,EMIE,finished_good,13-digit
6955631314542,6955631314542,-学生直充KU,成品 - 成品,EMIE,finished_good,13-digit
6955631314535,6955631314535,-成人无线KU,成品 - 成品,EMIE,finished_good,13-digit
6955631313262,6955631313262,-成人款-KU,成品 - 成品,EMIE,finished_good,13-digit
6955631315112,6955631315112,-手机壳版KU,成品 - 成品,EMIE,finished_good,13-digit
6955631315129,6955631315129,-手机壳版风火轮,成品 - 成品,EMIE,finished_good,13-digit
6955631314344,6955631314344,-插袋款CN,成品 - 成品,EMIE,finished_good,13-digit
6955631314443,6955631314443,-旋转木马CN,成品 - 成品,EMIE,finished_good,13-digit
6955631314450,6955631314450,-旋转木马KT,成品 - 成品,EMIE,finished_good,13-digit
6955631314467,6955631314467,-旋转木马KU,成品 - 成品,EMIE,finished_good,13-digit
6955631314177,6955631314177,-极限冲浪,成品 - 成品,EMIE,finished_good,13-digit
6955631315174,6955631315174,-浓香,成品 - 成品,EMIE,finished_good,13-digit
6955631315181,6955631315181,-淡香,成品 - 成品,EMIE,finished_good,13-digit
6955631315624,6955631315624,-爱心发声款,成品 - 成品,EMIE,finished_good,13-digit
6955631314429,6955631314429,-爱心款CN,成品 - 成品,EMIE,finished_good,13-digit
6955631314412,6955631314412,-爱心款KT,成品 - 成品,EMIE,finished_good,13-digit
6955631314436,6955631314436,-爱心款KU,成品 - 成品,EMIE,finished_good,13-digit
6955631313040,6955631313040,-白噪音版CN,成品 - 成品,EMIE,finished_good,13-digit
6955631313064,6955631313064,-白噪音版KU,成品 - 成品,EMIE,finished_good,13-digit
6955631314313,6955631314313,-礼物款CN,成品 - 成品,EMIE,finished_good,13-digit
6955631314252,6955631314252,-粉紫款KU,成品 - 成品,EMIE,finished_good,13-digit
6955631315440,6955631315440,-紫水晶,成品 - 成品,EMIE,finished_good,13-digit
6955631313729,6955631313729,-紫色儿童款,成品 - 成品,EMIE,finished_good,13-digit
6955631313712,6955631313712,-紫色成人款,成品 - 成品,EMIE,finished_good,13-digit
6955631314795,6955631314795,-美乐蒂,成品 - 成品,EMIE,finished_good,13-digit
6955631314818,6955631314818,-芭比,成品 - 成品,EMIE,finished_good,13-digit
6955631314757,6955631314757,-芭比,成品 - 成品,EMIE,finished_good,13-digit
6955631314764,6955631314764,-芭比双唛款,成品 - 成品,EMIE,finished_good,13-digit
6955631314962,6955631314962,-芭比款,成品 - 成品,EMIE,finished_good,13-digit
6955631314672,6955631314672,-芭比款,成品 - 成品,EMIE,finished_good,13-digit
6955631314832,6955631314832,-芭比蝴蝶结款,成品 - 成品,EMIE,finished_good,13-digit
6941602578426,6941602578426,-草莓熊,成品 - 成品,EMIE,finished_good,13-digit
6941602591470,6941602591470,-草莓熊,成品 - 成品,EMIE,finished_good,13-digit
6955631313057,6955631313057,-蓝牙版CN,成品 - 成品,EMIE,finished_good,13-digit
6955631314375,6955631314375,-蓝牙版KT,成品 - 成品,EMIE,finished_good,13-digit
6955631313071,6955631313071,-蓝牙版KU,成品 - 成品,EMIE,finished_good,13-digit
6955631313972,6955631313972,-蓝色成人款,成品 - 成品,EMIE,finished_good,13-digit
